Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
RIO RICO,CD,80,2019,ALL,RIO RICO,125,428,ALL,4.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SADDLEBROOKE,CD,80,2019,ALL,SADDLEBROOKE,93,428,ALL,4.93,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAFFORD,CD,80,2019,ALL,SAFFORD,85,428,ALL,53.61,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAHUARITA,CD,80,2019,ALL,SAHUARITA,119,428,ALL,40.18,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY,CD,80,2019,ALL,SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY,62,428,ALL,14,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAN CARLOS APACHE TRIBE,CD,80,2019,ALL,SAN CARLOS APACHE TRIBE,25,428,ALL,0,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAN LUIS,CD,80,2019,ALL,SAN LUIS,89,428,ALL,19.04,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAN TAN VALLEY,CD,80,2019,ALL,SAN TAN VALLEY,92,428,ALL,7,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SAN XAVIER,CD,80,2019,ALL,SAN XAVIER,116,428,ALL,2.16,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SCOTTSDALE CENTRAL,CD,80,2019,ALL,SCOTTSDALE CENTRAL,44,428,ALL,72.71,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SCOTTSDALE NORTH,CD,80,2019,ALL,SCOTTSDALE NORTH,43,428,ALL,54.96,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SCOTTSDALE SOUTH,CD,80,2019,ALL,SCOTTSDALE SOUTH,45,428,ALL,82.75,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SHOW LOW,CD,80,2019,ALL,SHOW LOW,15,428,ALL,29,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SIERRA VISTA,CD,80,2019,ALL,SIERRA VISTA,123,428,ALL,52.31,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SNOWFLAKE/HEBER,CD,80,2019,ALL,SNOWFLAKE/HEBER,14,428,ALL,24.49,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SOMERTON,CD,80,2019,ALL,SOMERTON,88,428,ALL,36.74,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SOUTH MOUNTAIN VILLAGE & GUADALUPE,CD,80,2019,ALL,SOUTH MOUNTAIN VILLAGE & GUADALUPE,41,428,ALL,71.25,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SPRINGERVILLE/EAGAR,CD,80,2019,ALL,SPRINGERVILLE/EAGER,17,428,ALL,7.97,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SUN CITY,CD,80,2019,ALL,SUN CITY,59,428,ALL,2.91,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SUN CITY WEST,CD,80,2019,ALL,SUN CITY WEST,55,428,ALL,9.06,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SUN LAKES,CD,80,2019,ALL,SUN LAKES,81,428,ALL,3.11,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SURPRISE NORTH & WICKENBURG,CD,80,2019,ALL,SURPRISE NORTH & WICKENBURG,46,428,ALL,13.52,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
SURPRISE SOUTH,CD,80,2019,ALL,SURPRISE SOUTH,47,428,ALL,28.36,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TANQUE VERDE,CD,80,2019,ALL,TANQUE VERDE,98,428,ALL,17.61,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TEMPE NORTH,CD,80,2019,ALL,TEMPE NORTH,71,428,ALL,90.43,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
TEMPE SOUTH,CD,80,2019,ALL,TEMPE SOUTH,72,428,ALL,82.62,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
